"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 39 ending September 28, 2024 (provisional)"	"2024/39"	9108	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 40 ending October 05, 2024 (provisional)"	"2024/40"	9155	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 41 ending October 12, 2024 (provisional)"	"2024/41"	9345	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 42 ending October 19, 2024 (provisional)"	"2024/42"	9460	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 43 ending October 26, 2024 (provisional)"	"2024/43"	9281	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 44 ending November 02, 2024 (provisional)"	"2024/44"	8305	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 45 ending November 09, 2024 (provisional)"	"2024/45"	6896	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week Not Available (provisional)"	"2024/99"	225	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"			3675006	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 01 ending January 06, 2018"	"2018/01"	13069	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 02 ending January 13, 2018"	"2018/02"	15324	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 03 ending January 20, 2018"	"2018/03"	15022	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 04 ending January 27, 2018"	"2018/04"	14446	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 05 ending February 03, 2018"	"2018/05"	13588	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 06 ending February 10, 2018"	"2018/06"	13925	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 07 ending February 17, 2018"	"2018/07"	13581	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 08 ending February 24, 2018"	"2018/08"	13564	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 09 ending March 03, 2018"	"2018/09"	12965	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 10 ending March 10, 2018"	"2018/10"	12871	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 11 ending March 17, 2018"	"2018/11"	12735	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 12 ending March 24, 2018"	"2018/12"	12869	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 13 ending March 31, 2018"	"2018/13"	12671	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 14 ending April 07, 2018"	"2018/14"	12888	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 15 ending April 14, 2018"	"2018/15"	12807	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 16 ending April 21, 2018"	"2018/16"	12565	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 17 ending April 28, 2018"	"2018/17"	12379	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 18 ending May 05, 2018"	"2018/18"	12618	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 19 ending May 12, 2018"	"2018/19"	12001	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 20 ending May 19, 2018"	"2018/20"	11519	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 21 ending May 26, 2018"	"2018/21"	11564	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 22 ending June 02, 2018"	"2018/22"	11455	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 23 ending June 09, 2018"	"2018/23"	11645	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 24 ending June 16, 2018"	"2018/24"	11627	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 25 ending June 23, 2018"	"2018/25"	11543	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 26 ending June 30, 2018"	"2018/26"	11706	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 27 ending July 07, 2018"	"2018/27"	11696	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 28 ending July 14, 2018"	"2018/28"	11575	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 29 ending July 21, 2018"	"2018/29"	11545	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 30 ending July 28, 2018"	"2018/30"	11455	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 31 ending August 04, 2018"	"2018/31"	11476	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 32 ending August 11, 2018"	"2018/32"	11693	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 33 ending August 18, 2018"	"2018/33"	11257	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 34 ending August 25, 2018"	"2018/34"	11450	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 35 ending September 01, 2018"	"2018/35"	11650	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 36 ending September 08, 2018"	"2018/36"	11594	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 37 ending September 15, 2018"	"2018/37"	11891	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 38 ending September 22, 2018"	"2018/38"	11800	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 39 ending September 29, 2018"	"2018/39"	11800	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 40 ending October 06, 2018"	"2018/40"	12232	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 41 ending October 13, 2018"	"2018/41"	11888	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 42 ending October 20, 2018"	"2018/42"	12350	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 43 ending October 27, 2018"	"2018/43"	12356	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 44 ending November 03, 2018"	"2018/44"	12485	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 45 ending November 10, 2018"	"2018/45"	12417	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 46 ending November 17, 2018"	"2018/46"	12552	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 47 ending November 24, 2018"	"2018/47"	12554	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 48 ending December 01, 2018"	"2018/48"	12530	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 49 ending December 08, 2018"	"2018/49"	12719	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 50 ending December 15, 2018"	"2018/50"	12799	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 51 ending December 22, 2018"	"2018/51"	12617	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2018 Week 52 ending December 29, 2018"	"2018/52"	12595	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 01 ending January 05, 2019"	"2019/01"	13178	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 02 ending January 12, 2019"	"2019/02"	13205	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 03 ending January 19, 2019"	"2019/03"	13240	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 04 ending January 26, 2019"	"2019/04"	13168	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 05 ending February 02, 2019"	"2019/05"	13414	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 06 ending February 09, 2019"	"2019/06"	13209	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 07 ending February 16, 2019"	"2019/07"	12980	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 08 ending February 23, 2019"	"2019/08"	12945	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 09 ending March 02, 2019"	"2019/09"	13035	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 10 ending March 09, 2019"	"2019/10"	13289	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 11 ending March 16, 2019"	"2019/11"	13263	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 12 ending March 23, 2019"	"2019/12"	12863	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 13 ending March 30, 2019"	"2019/13"	12757	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 14 ending April 06, 2019"	"2019/14"	12872	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 15 ending April 13, 2019"	"2019/15"	12406	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 16 ending April 20, 2019"	"2019/16"	12335	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 17 ending April 27, 2019"	"2019/17"	12257	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 18 ending May 04, 2019"	"2019/18"	12196	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 19 ending May 11, 2019"	"2019/19"	12200	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 20 ending May 18, 2019"	"2019/20"	12242	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 21 ending May 25, 2019"	"2019/21"	12376	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 22 ending June 01, 2019"	"2019/22"	11972	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 23 ending June 08, 2019"	"2019/23"	11897	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 24 ending June 15, 2019"	"2019/24"	11806	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 25 ending June 22, 2019"	"2019/25"	11864	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 26 ending June 29, 2019"	"2019/26"	12042	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 27 ending July 06, 2019"	"2019/27"	11855	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 28 ending July 13, 2019"	"2019/28"	11912	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 29 ending July 20, 2019"	"2019/29"	11828	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 30 ending July 27, 2019"	"2019/30"	11700	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 31 ending August 03, 2019"	"2019/31"	11735	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 32 ending August 10, 2019"	"2019/32"	11792	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 33 ending August 17, 2019"	"2019/33"	11699	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 34 ending August 24, 2019"	"2019/34"	11654	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 35 ending August 31, 2019"	"2019/35"	11656	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 36 ending September 07, 2019"	"2019/36"	11850	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 37 ending September 14, 2019"	"2019/37"	11878	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 38 ending September 21, 2019"	"2019/38"	12021	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 39 ending September 28, 2019"	"2019/39"	12222	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 40 ending October 05, 2019"	"2019/40"	12013	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 41 ending October 12, 2019"	"2019/41"	12326	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 42 ending October 19, 2019"	"2019/42"	12593	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 43 ending October 26, 2019"	"2019/43"	12561	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 44 ending November 02, 2019"	"2019/44"	12615	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 45 ending November 09, 2019"	"2019/45"	12820	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 46 ending November 16, 2019"	"2019/46"	12917	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 47 ending November 23, 2019"	"2019/47"	12914	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 48 ending November 30, 2019"	"2019/48"	12533	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 49 ending December 07, 2019"	"2019/49"	12980	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 50 ending December 14, 2019"	"2019/50"	13031	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 51 ending December 21, 2019"	"2019/51"	13116	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2019 Week 52 ending December 28, 2019"	"2019/52"	13327	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 01 ending January 04, 2020"	"2020/01"	13643	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 02 ending January 11, 2020"	"2020/02"	13658	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 03 ending January 18, 2020"	"2020/03"	13384	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 04 ending January 25, 2020"	"2020/04"	13546	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 05 ending February 01, 2020"	"2020/05"	13405	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 06 ending February 08, 2020"	"2020/06"	13250	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 07 ending February 15, 2020"	"2020/07"	13443	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 08 ending February 22, 2020"	"2020/08"	13636	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 09 ending February 29, 2020"	"2020/09"	13478	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 10 ending March 07, 2020"	"2020/10"	13591	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 11 ending March 14, 2020"	"2020/11"	13331	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 12 ending March 21, 2020"	"2020/12"	13320	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 13 ending March 28, 2020"	"2020/13"	13945	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 14 ending April 04, 2020"	"2020/14"	15201	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 15 ending April 11, 2020"	"2020/15"	15937	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 16 ending April 18, 2020"	"2020/16"	15617	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 17 ending April 25, 2020"	"2020/17"	15584	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 18 ending May 02, 2020"	"2020/18"	15306	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 19 ending May 09, 2020"	"2020/19"	14889	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 20 ending May 16, 2020"	"2020/20"	14549	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 21 ending May 23, 2020"	"2020/21"	14025	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 22 ending May 30, 2020"	"2020/22"	13675	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 23 ending June 06, 2020"	"2020/23"	13617	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 24 ending June 13, 2020"	"2020/24"	12982	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 25 ending June 20, 2020"	"2020/25"	12956	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 26 ending June 27, 2020"	"2020/26"	12720	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 27 ending July 04, 2020"	"2020/27"	13034	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 28 ending July 11, 2020"	"2020/28"	12869	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 29 ending July 18, 2020"	"2020/29"	12905	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 30 ending July 25, 2020"	"2020/30"	12951	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 31 ending August 01, 2020"	"2020/31"	13105	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 32 ending August 08, 2020"	"2020/32"	13251	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 33 ending August 15, 2020"	"2020/33"	13437	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 34 ending August 22, 2020"	"2020/34"	13194	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 35 ending August 29, 2020"	"2020/35"	13313	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 36 ending September 05, 2020"	"2020/36"	13116	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 37 ending September 12, 2020"	"2020/37"	13173	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 38 ending September 19, 2020"	"2020/38"	13316	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 39 ending September 26, 2020"	"2020/39"	13895	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 40 ending October 03, 2020"	"2020/40"	13794	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 41 ending October 10, 2020"	"2020/41"	14524	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 42 ending October 17, 2020"	"2020/42"	14359	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 43 ending October 24, 2020"	"2020/43"	14964	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 44 ending October 31, 2020"	"2020/44"	15398	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 45 ending November 07, 2020"	"2020/45"	16946	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 46 ending November 14, 2020"	"2020/46"	17663	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 47 ending November 21, 2020"	"2020/47"	18859	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 48 ending November 28, 2020"	"2020/48"	19349	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 49 ending December 05, 2020"	"2020/49"	19913	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 50 ending December 12, 2020"	"2020/50"	20537	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 51 ending December 19, 2020"	"2020/51"	19472	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 52 ending December 26, 2020"	"2020/52"	18640	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2020 Week 53 ending January 02, 2021"	"2020/53"	18396	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 01 ending January 09, 2021"	"2021/01"	17615	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 02 ending January 16, 2021"	"2021/02"	17142	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 03 ending January 23, 2021"	"2021/03"	16240	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 04 ending January 30, 2021"	"2021/04"	15444	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 05 ending February 06, 2021"	"2021/05"	15388	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 06 ending February 13, 2021"	"2021/06"	14459	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 07 ending February 20, 2021"	"2021/07"	14349	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 08 ending February 27, 2021"	"2021/08"	14047	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 09 ending March 06, 2021"	"2021/09"	13522	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 10 ending March 13, 2021"	"2021/10"	12940	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 11 ending March 20, 2021"	"2021/11"	12695	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 12 ending March 27, 2021"	"2021/12"	13098	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 13 ending April 03, 2021"	"2021/13"	12835	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 14 ending April 10, 2021"	"2021/14"	13619	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 15 ending April 17, 2021"	"2021/15"	13201	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 16 ending April 24, 2021"	"2021/16"	13628	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 17 ending May 01, 2021"	"2021/17"	13562	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 18 ending May 08, 2021"	"2021/18"	13073	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 19 ending May 15, 2021"	"2021/19"	13065	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 20 ending May 22, 2021"	"2021/20"	13305	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 21 ending May 29, 2021"	"2021/21"	12637	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 22 ending June 05, 2021"	"2021/22"	12903	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 23 ending June 12, 2021"	"2021/23"	12776	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 24 ending June 19, 2021"	"2021/24"	12612	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 25 ending June 26, 2021"	"2021/25"	12516	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 26 ending July 03, 2021"	"2021/26"	12578	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 27 ending July 10, 2021"	"2021/27"	12699	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 28 ending July 17, 2021"	"2021/28"	12603	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 29 ending July 24, 2021"	"2021/29"	12723	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 30 ending July 31, 2021"	"2021/30"	12901	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 31 ending August 07, 2021"	"2021/31"	13379	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 32 ending August 14, 2021"	"2021/32"	13592	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 33 ending August 21, 2021"	"2021/33"	13986	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 34 ending August 28, 2021"	"2021/34"	14319	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 35 ending September 04, 2021"	"2021/35"	14448	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 36 ending September 11, 2021"	"2021/36"	14659	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 37 ending September 18, 2021"	"2021/37"	15107	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2021 Week 38 ending September 25, 2021"	"2021/38"	15174	Not Applicable	Not Applicable
